,textID,text,selected_text,sentiment
56,b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,2
57,6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,0
58,703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,2
59,90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,0
60,52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",2
61,a4b0888da6, haha yes,haha yes,0
62,2a9765b7f9,I give in to easily,I give in to easily,2
63,90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,1
64,98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,2
65,23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,0
66,95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,1
67,c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,0
68,fa2654e730,Chilliin,Chilliin,1
69,187494c25b," If you know such agent, do let me know","If you know such agent, do let me know",0
70,4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,0
71,a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,1
72,04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",0
73,0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",0
74,a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,0
75,94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,0
76,35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,2
77,b2c9f115b1, My sources say no,My sources say no,0
78,0a61cbf4b5,I am sooo tired,I am sooo tired,2
79,ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",0
80,bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,1
81,58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,1
82,cb4d439ebc,fell asleep waiting for my ride!,fell asleep waiting for my ride!,0
83,64ed512788,Sick. With a flu like thing.,Sick.,2
84,4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",2
85,3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),1
86,0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,0
87,cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",0
88,bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,2
89,9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,1
90,a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,1
91,4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,0
92,a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,0
93,55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,2
94,b63ed6da62,eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,0
95,4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,1
96,61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,2
97,447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,2
98,3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,0
99,92e1b6846e, We saw that in none 3D - the baddie`s the best,best,1
